date,traderjoe_avax_usdc,traderjoe_avax_usdt,benqi_avax_supply,benqi_usdc_supply,benqi_usdt_supply,yieldyak_avax,yieldyak_usdc,yieldyak_usdt
2024-01-01,12.5,11.8,8.2,6.1,5.9,15.2,8.5,8.3
2024-01-02,12.7,11.9,8.3,6.2,6.0,15.4,8.6,8.4
2024-01-03,12.3,11.6,8.1,6.0,5.8,15.0,8.4,8.2
2024-01-04,12.8,12.1,8.4,6.3,6.1,15.6,8.7,8.5
2024-01-05,12.6,11.9,8.2,6.1,5.9,15.3,8.5,8.3
2024-01-06,12.4,11.7,8.0,5.9,5.7,15.1,8.3,8.1
2024-01-07,12.9,12.2,8.5,6.4,6.2,15.7,8.8,8.6
2024-01-08,12.5,11.8,8.2,6.1,5.9,15.2,8.5,8.3
2024-01-09,12.7,12.0,8.3,6.2,6.0,15.4,8.6,8.4
2024-01-10,12.2,11.5,7.9,5.8,5.6,14.9,8.2,8.0
